"Language","original","english","czech","german","russian","polish","hungarian","italian","spanish","french","chinese","japanese","portuguese","chinesesimp"
"VSTR_ESP_DEL_CONFIRM_3","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)"," ? (Отменить это удаление невозможно!)","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)"," ? (Vous ne pourrez pas annuler une fois cet objet supprimé !) ","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)","? (You can't revert once you delete this item!)"
"VSTR_NOTIFY_ERR_UNIQUE","You must give the preset a unique name!","You must give the preset a unique name!","You must give the preset a unique name!","You must give the preset a unique name!","Вы должны дать пресету уникальное имя!","You must give the preset a unique name!","You must give the preset a unique name!","You must give the preset a unique name!","You must give the preset a unique name!","Vous devez donner un nom unique au préréglage !","You must give the preset a unique name!","You must give the preset a unique name!","You must give the preset a unique name!","You must give the preset a unique name!"
"VSTR_DISPLAY_PARENT","(Parent)","(Parent)","(Parent)","(Parent)"," (Основной)","(Parent)","(Parent)","(Parent)","(Parent)","(Parent)","(Parent)","(Parent)","(Parent)","(Parent)"
"VSTR_TOOLTIP_ITEMMGR","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","Дважды щелкните левой кнопкой мыши элемент из «Списка элементов» в правой части панели, чтобы создать его в соответствии с параметрами, выбранными в «Параметры создания» в нижней части панели.\nЧтобы создать новый пресет, нажмите на «Новый пресет». Удерживая левый CTRL + дважды щелкните левой кнопкой мыши на элементе из «Списка элементов», чтобы добавить его в выбранный пресет!\nЩелкнув правой кнопкой мыши на элементе пресета, он установит для него значение «Основной». Удерживайте левый ctrl + правый клик, чтобы удалить привязку.","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","Cliquez deux fois à gauche sur un objet dans la 'Liste des Objets' sur le côté droit du panneau pour le faire apparaître selon les options que vous avez sélectionnées dans les 'Options de Spawn' en bas du panneau.\nPour créer un nouveau préréglage, cliquez sur 'Nouveau Préréglage'. Maintenez la touche CTRL gauche enfoncée + cliquez deux fois à gauche sur un objet dans la 'Liste des Objets' pour l'ajouter à votre préréglage sélectionné !\nUn clic droit sur un objet de préréglage le définira comme `Parent`. Maintenez la touche CTRL gauche enfoncée + clic droit pour ne pas définir de parent.","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset","2x left click on an item from the 'Item List' on the right side of the panel to spawn it according to the options you have selected from the 'Spawn Options` at the bottom of the panel.\nTo make a new preset"
"VSTR_TITLE_SAVEDPRESETS","Saved Item Presets","Saved Item Presets","Saved Item Presets","Saved Item Presets","Сохраненные пресеты","Saved Item Presets","Saved Item Presets","Saved Item Presets","Saved Item Presets","Préréglages d'objets enregistrés","Saved Item Presets","Saved Item Presets","Saved Item Presets","Saved Item Presets"
"VSTR_NOTIFY_ERR_NOPRESET","No Preset Selected!","No Preset Selected!","No Preset Selected!","No Preset Selected!","Пресет не выбран!","No Preset Selected!","No Preset Selected!","No Preset Selected!","No Preset Selected!","Aucun Préréglage Sélectionné !","No Preset Selected!","No Preset Selected!","No Preset Selected!","No Preset Selected!"
"VSTR_NOTIFY_ERR_NOTSELECTPRESET","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!","Ошибка при добавлении элемента в пресет: пресет не выбран!","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!","Erreur d'ajout d'objet au préréglage : Aucun préréglage sélectionné !","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!","Error Adding Item to Preset: No Preset Selected!"
"VSTR_NOTIFY_ERR_SPAWN_PRESET","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Ошибка спавна пресета: Игроки не выбраны!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Erreur de spawn du préréglage : Aucun joueur sélectionné !","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!"
"VSTR_NOTIFY_ERR_SPAWN_PRESET_NOPLAYER","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Ошибка спавна пресета: Игроки не выбраны!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Erreur de spawn du préréglage : Aucun joueur sélectionné !","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!","Error Spawn Preset: No Players Selected!"
"VSTR_ALERT_ENABLE_PHYSICS","Enable Dynamic Physics","Enable Dynamic Physics","Enable Dynamic Physics","Enable Dynamic Physics","Включить динамическую физику","Enable Dynamic Physics","Enable Dynamic Physics","Enable Dynamic Physics","Enable Dynamic Physics","Activer la physique dynamique","Enable Dynamic Physics","Enable Dynamic Physics","Enable Dynamic Physics","Enable Dynamic Physics"
"VSTR_TOOLTIP_PHYSICS","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","Cette option activera la physique sur l'objet pendant quelques secondes temporairement afin de simuler une randomisation de position. Vous pouvez utiliser cette option pour rendre l'empilement des objets plus \nsemblant naturel\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\","This option will enable physics on the object for a few seconds temporarily in order to simulate position randomization. You can use this option to make objects stacking seem \naturally placed\"
"VSTR_TOOLTIP_EXPORT_SET","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Нажмите «Да», чтобы создать экспорт текущего набора. Экспорты сохраняются в профиле сервера: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Cliquez sur 'oui' pour générer une exportation du jeu actuel. Les exportations sont enregistrées dans le profil serveur : VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports","Click 'yes' to generate an export of the current set. Exports are saved on server profile: VPPAdminTools\\Exports"
"VSTR_NOTIFY_ERR_DUPENAME","Error","Error","Error","Error","Ошибка, заданное имя не соответствует требованиям!\nДубликат имени или имя слишком короткое!","Error","Error","Error","Error","Erreur, le nom du jeu ne répond pas aux exigences !\nnom dupliqué ou nom trop court !","Error","Error","Error","Error"
"VSTR_TITLE_WARNING","Warning!","Warning!","Warning!","Warning!","Внимание!","Warning!","Warning!","Warning!","Warning!","Avertissement !","Warning!","Warning!","Warning!","Warning!"
"VSTR_TOOLTIP_SELECT_SET","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?","Выбор другого набора НЕ сохранит текущие изменения в других наборах. Продолжить?","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?","La sélection d'un autre ensemble de construction n'enregistrera PAS les modifications précédentes apportées aux autres ensembles. Continuer ?","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?","Selecting another building set will NOT save previous changes to other sets. Continue?"
"VSTR_NOTIFY_OBJ_DESELECT","Object deselected!","Object deselected!","Object deselected!","Object deselected!","Выбор снят с объекта!","Object deselected!","Object deselected!","Object deselected!","Object deselected!","Objet désélectionné !","Object deselected!","Object deselected!","Object deselected!","Object deselected!"
"VSTR_NOTIFY_OB_SELECTED","Selected Object:","Selected Object:","Selected Object:","Selected Object:","Выбранный объект:","Selected Object:","Selected Object:","Selected Object:","Selected Object:","Objet Sélectionné :","Selected Object:","Selected Object:","Selected Object:","Selected Object:"
"VSTR_NOTIFY_ERR_ATTS_SHOWING","Attributes editor already showing!","Attributes editor already showing!","Attributes editor already showing!","Attributes editor already showing!","Редактор атрибутов уже работает!","Attributes editor already showing!","Attributes editor already showing!","Attributes editor already showing!","Attributes editor already showing!","L'éditeur d'attributs est déjà affiché !","Attributes editor already showing!","Attributes editor already showing!","Attributes editor already showing!","Attributes editor already showing!"
"VSTR_NOTIFY_ERR_NOSET_SELECTED","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Невозможно создать объект! Набор зданий не выбран! Выберите или создайте новый набор зданий!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Impossible de faire apparaître l'objet ! Aucun ensemble de construction sélectionné !\nSélectionnez ou créez un nouvel ensemble de bâtiments !","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!","Cannot spawn object! No Building set selected!\n\nSelect or create a new buildingset!"
"VSTR_NOTIFY_ERR_SET_INACTIVE","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!","Невозможно создать объект! Выбранный строительный набор не активен!!","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!","Impossible de faire apparaître l'objet ! L'ensemble de construction sélectionné n'est pas actif !!","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!","Cannot spawn object! Building set selected is not active!!"
"VSTR_TOOLTIP_HELP_OBJMANAGER","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","Как использовать:\n <элементы управления Object Builder>\n -> левый Ctrl, чтобы отменить выбор объекта\n -> удерживайте левый Shift + левый/правый щелчок, чтобы повернуть объект\n -> удерживайте левый Alt + левый/правый щелчок, чтобы переместить вверх/вниз\n -> Щелкните левой кнопкой мыши на объекте, чтобы выбрать\n -> Удерживайте левую кнопку мыши, чтобы перетащить/переместить объект.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","Comment utiliser :\n <Contrôles de l'éditeur d'objets>\n -> Ctrl gauche pour désélectionner un objet\n -> Maintenez Shift gauche + clic gauche/droit pour faire pivoter l'objet\n -> Maintenez Alt gauche + clic gauche/droit pour déplacer vers le haut/bas\n -> Cliquez gauche sur l'objet pour sélectionner\n -> Maintenez clic gauche pour faire glisser/déplacer l'objet.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object.","How to use:\n\n <Object Builder Controls>\n -> Left Ctrl to deselect an object\n -> Hold left Shift + left/right click to rotate object\n -> Hold left Alt + left/right click to move up/down\n -> Left Click on object to select\n -> Hold left Click to drag/move object."
"VSTR_TILE_DEL_USER","Delete User","Delete User","Delete User","Delete User","Удалить пользователя","Delete User","Delete User","Delete User","Delete User","Supprimer l'utilisateur","Delete User","Delete User","Delete User","Delete User"
"VSTR_Q_REMOVE_USER_FROMGROUP","Are you sure you wish to remove","Are you sure you wish to remove","Are you sure you wish to remove","Are you sure you wish to remove","Вы уверены, что хотите удалить ","Are you sure you wish to remove","Are you sure you wish to remove","Are you sure you wish to remove","Are you sure you wish to remove","Êtes-vous sûr de vouloir retirer ","Are you sure you wish to remove","Are you sure you wish to remove","Are you sure you wish to remove","Are you sure you wish to remove"
"VSTR_Q_REMOVE_USER_FROMGROUP_2","from the group?","from the group?","from the group?","from the group?","из группы?","from the group?","from the group?","from the group?","from the group?","du groupe ?","from the group?","from the group?","from the group?","from the group?"
"VSTR_TITLE_EDIT_PERMS","Edit Permission Level","Edit Permission Level","Edit Permission Level","Edit Permission Level","Изменить уровень разрешений","Edit Permission Level","Edit Permission Level","Edit Permission Level","Edit Permission Level","Modifier le niveau de permission","Edit Permission Level","Edit Permission Level","Edit Permission Level","Edit Permission Level"
"VSTR_TOOLTIP_PERMSLEVEL","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:","Укажите новое значение уровня разрешений для группы пользователей: ","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:","Veuillez insérer la nouvelle valeur de niveau de permission pour le groupe d'utilisateurs : ","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:","Please Insert New Permission Level Value for the user group:"
"VSTR_NOTIFY_PERMLVL_UPDATED","Permission Level Updated To:","Permission Level Updated To:","Permission Level Updated To:","Permission Level Updated To:","Уровень разрешений обновлен до: ","Permission Level Updated To:","Permission Level Updated To:","Permission Level Updated To:","Permission Level Updated To:","Niveau de permission mis à jour à : ","Permission Level Updated To:","Permission Level Updated To:","Permission Level Updated To:","Permission Level Updated To:"
"VSTR_TOOLTIPE_TITLE_DELGROUP","Delete User Group","Delete User Group","Delete User Group","Delete User Group","Удалить группу","Delete User Group","Delete User Group","Delete User Group","Delete User Group","Supprimer le groupe d'utilisateurs","Delete User Group","Delete User Group","Delete User Group","Delete User Group"
"VSTR_TOOLTIPE_DELGROUP","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?","Вы уверены, что хотите удалить выбранную группу?","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?","Êtes-vous sûr de vouloir supprimer le groupe d'utilisateurs sélectionné ?","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?","Are you sure you wish to delete selected user group?"
"VSTR_TOOLTIP_TITLE_CREATEGROUP","Create User Group","Create User Group","Create User Group","Create User Group","Создать группу","Create User Group","Create User Group","Create User Group","Create User Group","Créer un groupe d'utilisateurs","Create User Group","Create User Group","Create User Group","Create User Group"
"VSTR_TOOLTIP_CREATEGROUP","Please Insert a new for the group. Duplicate names will be rejected.","Please Insert a new for the group. Duplicate names will be rejected.","Please Insert a new for the group. Duplicate names will be rejected.","Please Insert a new for the group. Duplicate names will be rejected.","Пожалуйста, укжите новое имя группы. Повторяющиеся имена будут отклонены.","Please Insert a new for the group. Duplicate names will be rejected.","Please Insert a new for the group. Duplicate names will be rejected.","Please Insert a new for the group. Duplicate names will be rejected.","Please Insert a new for the group. Duplicate names will be rejected.","Veuillez insérer un nouveau nom pour le groupe. Les noms en double seront rejetés.","Please Insert a new for the group. Duplicate names will be rejected.","Please Insert a new for the group. Duplicate names will be rejected.","Please Insert a new for the group. Duplicate names will be rejected.","Please Insert a new for the group. Duplicate names will be rejected."
"VSTR_TOOLTIP_TITLE_UPDATE_PERMSGRP","Update Permissions","Update Permissions","Update Permissions","Update Permissions","Обновить разрешения","Update Permissions","Update Permissions","Update Permissions","Update Permissions","Mettre à jour les permissions","Update Permissions","Update Permissions","Update Permissions","Update Permissions"
"VSTR_TOOLTIP_UPDATE_PERMSGRP","Are you sure you wish to update selected group's permissions?","Are you sure you wish to update selected group's permissions?","Are you sure you wish to update selected group's permissions?","Are you sure you wish to update selected group's permissions?","Вы уверены, что хотите обновить разрешения для выбранной группы?","Are you sure you wish to update selected group's permissions?","Are you sure you wish to update selected group's permissions?","Are you sure you wish to update selected group's permissions?","Are you sure you wish to update selected group's permissions?","Êtes-vous sûr de vouloir mettre à jour les permissions du groupe sélectionné ?","Are you sure you wish to update selected group's permissions?","Are you sure you wish to update selected group's permissions?","Are you sure you wish to update selected group's permissions?","Are you sure you wish to update selected group's permissions?"
"VSTR_NOTIFY_PERMS_REQUSTADD","Requesting Server to Add Members to Group:","Requesting Server to Add Members to Group:","Requesting Server to Add Members to Group:","Requesting Server to Add Members to Group:","Запрос сервера на добавление участников в группу: ","Requesting Server to Add Members to Group:","Requesting Server to Add Members to Group:","Requesting Server to Add Members to Group:","Requesting Server to Add Members to Group:","Demande au serveur d'ajouter des membres au groupe : ","Requesting Server to Add Members to Group:","Requesting Server to Add Members to Group:","Requesting Server to Add Members to Group:","Requesting Server to Add Members to Group:"
"VSTR_NOTIFY_ERR_ADD_PLAYERSPERMS","Error Adding Selected Players! Something Went Wrong.","Error Adding Selected Players! Something Went Wrong.","Error Adding Selected Players! Something Went Wrong.","Error Adding Selected Players! Something Went Wrong.","Ошибка добавления выбранных игроков! Что-то пошло не так.","Error Adding Selected Players! Something Went Wrong.","Error Adding Selected Players! Something Went Wrong.","Error Adding Selected Players! Something Went Wrong.","Error Adding Selected Players! Something Went Wrong.","Erreur d'ajout des joueurs sélectionnés ! Un problème est survenu.","Error Adding Selected Players! Something Went Wrong.","Error Adding Selected Players! Something Went Wrong.","Error Adding Selected Players! Something Went Wrong.","Error Adding Selected Players! Something Went Wrong."
"VSTR_NOTIFY_PERMS_UPD_GRP","Permissions for group:","Permissions for group:","Permissions for group:","Permissions for group:","Разрешения для группы:","Permissions for group:","Permissions for group:","Permissions for group:","Permissions for group:","Permissions pour le groupe :","Permissions for group:","Permissions for group:","Permissions for group:","Permissions for group:"
"VSTR_NOTIFY_PERMS_UPD_GRP_2","updated & saved!","updated & saved!","updated & saved!","updated & saved!","обновлено и сохранено!","updated & saved!","updated & saved!","updated & saved!","updated & saved!","mis à jour et sauvegardé !","updated & saved!","updated & saved!","updated & saved!","updated & saved!"
"VSTR_NOTIFY_GRPNAME","Group Name:","Group Name:","Group Name:","Group Name:","Имя группы: ","Group Name:","Group Name:","Group Name:","Group Name:","Nom du groupe : ","Group Name:","Group Name:","Group Name:","Group Name:"
"VSTR_NOTIFY_ALREADY_EXISTS","already exists!","already exists!","already exists!","already exists!","already exists!","already exists!","already exists!","already exists!","already exists!","existe déjà !","already exists!","already exists!","already exists!","already exists!"
"VSTR_NOTIFY_USER_GRP_CREATED","Created New User Group:","Created New User Group:","Created New User Group:","Created New User Group:","Создать новую группу: ","Created New User Group:","Created New User Group:","Created New User Group:","Created New User Group:","Groupe d'utilisateurs créé : ","Created New User Group:","Created New User Group:","Created New User Group:","Created New User Group:"
"VSTR_NOTIFY_SUCCESS_COPY_TOCLIPBOARD","Successfully Copied To Clipboard!","Successfully Copied To Clipboard!","Successfully Copied To Clipboard!","Successfully Copied To Clipboard!","Скопировано в буфер обмена!","Successfully Copied To Clipboard!","Successfully Copied To Clipboard!","Successfully Copied To Clipboard!","Successfully Copied To Clipboard!","Copié avec succès dans le presse-papiers !","Successfully Copied To Clipboard!","Successfully Copied To Clipboard!","Successfully Copied To Clipboard!","Successfully Copied To Clipboard!"
"VSTR_TOOLTIP_TITLE_NOTICE","Important Notice!","Important Notice!","Important Notice!","Important Notice!","Уведомление","Important Notice!","Important Notice!","Important Notice!","Important Notice!","Avis important !","Important Notice!","Important Notice!","Important Notice!","Important Notice!"
"VSTR_TOOLTIP_WRN_ADDPLAYERTOGRP","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Êtes-vous sûr de vouloir ajouter les joueurs sélectionnés au groupe d'utilisateurs sélectionné ?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?","Are you sure you wish to add selected players to selected user group?"
"VSTR_TOOLTIP_TITLE_VOMIT","Length of Vomiting:","Length of Vomiting:","Length of Vomiting:","Length of Vomiting:","Длительность Рвоты:","Length of Vomiting:","Length of Vomiting:","Length of Vomiting:","Length of Vomiting:","Durée vomissement :","Length of Vomiting:","Length of Vomiting:","Length of Vomiting:","Length of Vomiting:"
"VSTR_TOOLTIP_VOMIT","Input length of time in seconds.","Input length of time in seconds.","Input length of time in seconds.","Input length of time in seconds.","Чтобы вызвать у игрока рвоту, выставьте значения в диапазоне от 0 до 2,147,483,647 секунд.","Input length of time in seconds.","Input length of time in seconds.","Input length of time in seconds.","Input length of time in seconds.","Valeur en secondes.","Input length of time in seconds.","Input length of time in seconds.","Input length of time in seconds.","Input length of time in seconds."
"VSTR_TOOLTIP_TITLE_KICK","Kick Player","Kick Player","Kick Player","Kick Player","Выгнать игрока","Kick Player","Kick Player","Kick Player","Kick Player","Expulser le joueur","Kick Player","Kick Player","Kick Player","Kick Player"
"VSTR_TOOLTIP_KICK_REASON","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Укажите причину кика!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Veuillez écrire la raison ou laisser vide !","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!","Please type kick reason or leave empty!"
"VSTR_TOOLTIP_TITLE_KILL_PLAYERS","KILL","KILL","KILL","KILL","УБИТЬ","KILL","KILL","KILL","KILL","TUER","KILL","KILL","KILL","KILL"
"VSTR_TOOLTIP_KILL_PLAYERS","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Вы уверены, что хотите убить выбранных игроков?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Êtes-vous sûr de vouloir tuer les joueurs sélectionnés ?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?","Are you sure you wish to kill selected players?"
